time,usr,used,writ,1m
16/03/2018 21:44:52,6.098,735850496,5780952.168,0.97
16/03/2018 21:44:53,7.449,742850560,360448,0.97
16/03/2018 21:44:54,4.271,731176960,401408,0.97
16/03/2018 21:44:55,1.001,743239680,4096,0.97
16/03/2018 21:44:56,0.501,743694336,14954496,0.97
16/03/2018 21:44:57,1.754,730910720,4096,0.97
16/03/2018 21:44:58,0.877,742752256,4096,0.9
16/03/2018 21:44:59,1.385,731332608,450560,0.9
16/03/2018 21:45:00,1.009,743878656,4096,0.9
16/03/2018 21:45:01,0.751,745730048,61440,0.9
16/03/2018 21:45:02,1.256,731336704,4096,0.9
16/03/2018 21:45:03,1.129,744402944,4096,0.82
16/03/2018 21:45:04,5.772,776876032,172032,0.82
16/03/2018 21:45:05,9.85,831397888,4993024,0.82
16/03/2018 21:45:06,3.88,845697024,82489344,0.82
